subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
mesh:D000070614	skos:exactMatch	uberon:0002242	semapv:MappingInversion	biomappings			1.0		uberon:0002242 mesh:D000070614
bto:0006296	skos:exactMatch	uberon:0002262	semapv:MappingInversion	biomappings			1.0		uberon:0002262 bto:0006296
mesh:D066127	skos:exactMatch	uberon:0002316	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C33892	skos:exactMatch	uberon:0002316	semapv:MappingChaining	biomappings			1.0		uberon:0002316 mesh:D066127 ncit:C33892
mesh:D014066	skos:exactMatch	uberon:0002373	semapv:MappingInversion	biomappings			1.0		uberon:0002373 mesh:D014066
mesh:D055172	skos:exactMatch	uberon:0002396	semapv:MappingInversion	biomappings			1.0		uberon:0002396 mesh:D055172
mesh:D000069236	skos:exactMatch	uberon:0002409	semapv:MappingInversion	biomappings			1.0		uberon:0002409 mesh:D000069236
bto:0006196	skos:exactMatch	uberon:0002412	semapv:MappingInversion	biomappings			1.0		uberon:0002412 bto:0006196
bto:0006481	skos:exactMatch	uberon:0002430	semapv:MappingInversion	biomappings			1.0		uberon:0002430 bto:0006481
mesh:D000071041	skos:exactMatch	uberon:0002469	semapv:MappingInversion	biomappings			1.0		uberon:0002469 mesh:D000071041
mesh:D055988	skos:exactMatch	uberon:0002493	semapv:MappingInversion	biomappings			1.0		uberon:0002493 mesh:D055988
mesh:D053403	skos:exactMatch	uberon:0002540	semapv:MappingInversion	biomappings			1.0		uberon:0002540 mesh:D053403
mesh:D065726	skos:exactMatch	uberon:0002600	semapv:MappingInversion	biomappings			1.0		uberon:0002600 mesh:D065726
mesh:D065850	skos:exactMatch	uberon:0002623	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32291	skos:exactMatch	uberon:0002623	semapv:MappingChaining	biomappings			1.0		uberon:0002623 mesh:D065850 ncit:C32291
bto:0006168	skos:exactMatch	uberon:0002625	semapv:MappingInversion	biomappings			1.0		uberon:0002625 bto:0006168
mesh:D065843	skos:exactMatch	uberon:0002631	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32409	skos:exactMatch	uberon:0002631	semapv:MappingChaining	biomappings			1.0		ncit:C32409 mesh:D065843 uberon:0002631
mesh:D066265	skos:exactMatch	uberon:0002639	semapv:MappingInversion	biomappings			1.0		uberon:0002639 mesh:D066265
mesh:D065827	skos:exactMatch	uberon:0002682	semapv:MappingInversion	biomappings			1.0		uberon:0002682 mesh:D065827
mesh:D065849	skos:exactMatch	uberon:0002684	semapv:MappingInversion	biomappings			1.0		uberon:0002684 mesh:D065849
bto:0006268	skos:exactMatch	uberon:0002689	semapv:MappingInversion	biomappings			1.0		uberon:0002689 bto:0006268
bto:0006132	skos:exactMatch	uberon:0002707	semapv:MappingInversion	biomappings			1.0		uberon:0002707 bto:0006132
bto:0006159	skos:exactMatch	uberon:0002714	semapv:MappingInversion	biomappings			1.0		uberon:0002714 bto:0006159
mesh:D066187	skos:exactMatch	uberon:0002743	semapv:MappingInversion	biomappings			1.0		uberon:0002743 mesh:D066187
bto:0006175	skos:exactMatch	uberon:0002751	semapv:MappingInversion	biomappings			1.0		uberon:0002751 bto:0006175
bto:0006157	skos:exactMatch	uberon:0002752	semapv:MappingInversion	biomappings			1.0		uberon:0002752 bto:0006157
bto:0006177	skos:exactMatch	uberon:0002769	semapv:MappingInversion	biomappings			1.0		uberon:0002769 bto:0006177
bto:0006176	skos:exactMatch	uberon:0002771	semapv:MappingInversion	biomappings			1.0		uberon:0002771 bto:0006176
mesh:D066274	skos:exactMatch	uberon:0002883	semapv:MappingInversion	biomappings			1.0		uberon:0002883 mesh:D066274
mesh:D066194	skos:exactMatch	uberon:0002894	semapv:MappingInversion	biomappings			1.0		uberon:0002894 mesh:D066194
