subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
mesh:D066127	skos:exactMatch	ncit:C33892	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C33892	skos:exactMatch	mesh:D066127	semapv:MappingInversion	biomappings			1.0		mesh:D066127 ncit:C33892
mesh:D066128	skos:exactMatch	ncit:C32695	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32695	skos:exactMatch	mesh:D066128	semapv:MappingInversion	biomappings			1.0		mesh:D066128 ncit:C32695
mesh:D066186	skos:exactMatch	ncit:C32391	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32391	skos:exactMatch	mesh:D066186	semapv:MappingInversion	biomappings			1.0		mesh:D066186 ncit:C32391
mesh:D066191	skos:exactMatch	ncit:C154777	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C154777	skos:exactMatch	mesh:D066191	semapv:MappingInversion	biomappings			1.0		mesh:D066191 ncit:C154777
mesh:D066271	skos:exactMatch	ncit:C32550	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32550	skos:exactMatch	mesh:D066271	semapv:MappingInversion	biomappings			1.0		mesh:D066271 ncit:C32550
mesh:D066293	skos:exactMatch	ncit:C33463	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C33463	skos:exactMatch	mesh:D066293	semapv:MappingInversion	biomappings			1.0		mesh:D066293 ncit:C33463
uberon:0000017	skos:exactMatch	mesh:D046790	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D046790	skos:exactMatch	uberon:0000017	semapv:MappingInversion	biomappings			1.0		uberon:0000017 mesh:D046790
uberon:0000076	skos:exactMatch	bto:0006242	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006242	skos:exactMatch	uberon:0000076	semapv:MappingInversion	biomappings			1.0		uberon:0000076 bto:0006242
uberon:0000120	skos:exactMatch	mesh:D001812	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D001812	skos:exactMatch	uberon:0000120	semapv:MappingInversion	biomappings			1.0		uberon:0000120 mesh:D001812
uberon:0000127	skos:exactMatch	mesh:D065828	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065828	skos:exactMatch	uberon:0000127	semapv:MappingInversion	biomappings			1.0		uberon:0000127 mesh:D065828
uberon:0000159	skos:exactMatch	mesh:D001003	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D001003	skos:exactMatch	uberon:0000159	semapv:MappingInversion	biomappings			1.0		uberon:0000159 mesh:D001003
uberon:0000220	skos:exactMatch	mesh:D001269	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D001269	skos:exactMatch	uberon:0000220	semapv:MappingInversion	biomappings			1.0		uberon:0000220 mesh:D001269
uberon:0000353	skos:exactMatch	bto:0001539	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0001539	skos:exactMatch	uberon:0000353	semapv:MappingInversion	biomappings			1.0		uberon:0000353 bto:0001539
uberon:0000387	skos:exactMatch	mesh:D000072600	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D000072600	skos:exactMatch	uberon:0000387	semapv:MappingInversion	biomappings			1.0		uberon:0000387 mesh:D000072600
uberon:0000569	skos:exactMatch	mesh:D007080	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D007080	skos:exactMatch	uberon:0000569	semapv:MappingInversion	biomappings			1.0		uberon:0000569 mesh:D007080
uberon:0000939	skos:exactMatch	mesh:D060227	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D060227	skos:exactMatch	uberon:0000939	semapv:MappingInversion	biomappings			1.0		uberon:0000939 mesh:D060227
uberon:0001049	skos:exactMatch	mesh:D054259	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D054259	skos:exactMatch	uberon:0001049	semapv:MappingInversion	biomappings			1.0		uberon:0001049 mesh:D054259
uberon:0001156	skos:exactMatch	mesh:D044682	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D044682	skos:exactMatch	uberon:0001156	semapv:MappingInversion	biomappings			1.0		uberon:0001156 mesh:D044682
uberon:0001157	skos:exactMatch	mesh:D044684	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D044684	skos:exactMatch	uberon:0001157	semapv:MappingInversion	biomappings			1.0		uberon:0001157 mesh:D044684
uberon:0001158	skos:exactMatch	mesh:D044683	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D044683	skos:exactMatch	uberon:0001158	semapv:MappingInversion	biomappings			1.0		uberon:0001158 mesh:D044683
uberon:0001347	skos:exactMatch	mesh:D052436	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D052436	skos:exactMatch	uberon:0001347	semapv:MappingInversion	biomappings			1.0		uberon:0001347 mesh:D052436
uberon:0001473	skos:exactMatch	mesh:D042601	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D042601	skos:exactMatch	uberon:0001473	semapv:MappingInversion	biomappings			1.0		uberon:0001473 mesh:D042601
uberon:0001642	skos:exactMatch	mesh:D054063	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D054063	skos:exactMatch	uberon:0001642	semapv:MappingInversion	biomappings			1.0		uberon:0001642 mesh:D054063
uberon:0001715	skos:exactMatch	mesh:D065838	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065838	skos:exactMatch	uberon:0001715	semapv:MappingInversion	biomappings			1.0		uberon:0001715 mesh:D065838
uberon:0001806	skos:exactMatch	mesh:D005728	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D005728	skos:exactMatch	uberon:0001806	semapv:MappingInversion	biomappings			1.0		uberon:0001806 mesh:D005728
uberon:0001808	skos:exactMatch	mesh:D005726	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D005726	skos:exactMatch	uberon:0001808	semapv:MappingInversion	biomappings			1.0		uberon:0001808 mesh:D005726
uberon:0001823	skos:exactMatch	mesh:D055171	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D055171	skos:exactMatch	uberon:0001823	semapv:MappingInversion	biomappings			1.0		uberon:0001823 mesh:D055171
uberon:0001856	skos:exactMatch	mesh:D054776	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D054776	skos:exactMatch	uberon:0001856	semapv:MappingInversion	biomappings			1.0		uberon:0001856 mesh:D054776
uberon:0001862	skos:exactMatch	mesh:D014722	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D014722	skos:exactMatch	uberon:0001862	semapv:MappingInversion	biomappings			1.0		uberon:0001862 mesh:D014722
uberon:0001863	skos:exactMatch	mesh:D054738	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D054738	skos:exactMatch	uberon:0001863	semapv:MappingInversion	biomappings			1.0		uberon:0001863 mesh:D054738
uberon:0001883	skos:exactMatch	mesh:D066208	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066208	skos:exactMatch	uberon:0001883	semapv:MappingInversion	biomappings			1.0		uberon:0001883 mesh:D066208
uberon:0001907	skos:exactMatch	mesh:D065820	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065820	skos:exactMatch	uberon:0001907	semapv:MappingInversion	biomappings			1.0		uberon:0001907 mesh:D065820
uberon:0001931	skos:exactMatch	bto:0006166	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006166	skos:exactMatch	uberon:0001931	semapv:MappingInversion	biomappings			1.0		uberon:0001931 bto:0006166
uberon:0001944	skos:exactMatch	mesh:D066250	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066250	skos:exactMatch	uberon:0001944	semapv:MappingInversion	biomappings			1.0		uberon:0001944 mesh:D066250
uberon:0001947	skos:exactMatch	bto:0006329	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006329	skos:exactMatch	uberon:0001947	semapv:MappingInversion	biomappings			1.0		uberon:0001947 bto:0006329
uberon:0001977	skos:exactMatch	mesh:D044967	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D044967	skos:exactMatch	uberon:0001977	semapv:MappingInversion	biomappings			1.0		uberon:0001977 mesh:D044967
